id,source,matching,destination,type,category,status,ignore
,https://www.springcard.com/fr/blog/news/everything-there-is-to-know-about-pc-sc,exact,/blog/tout-savoir-sur-le-pc-sc/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/everything-there-is-to-know-about-the-ce-norm,exact,/blog/tout-savoir-sur-le-marquage-ce/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/everything-there-is-to-know-about-the-nxp-cards,exact,/blog/tout-savoir-sur-les-cartes-nxp/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/everything-there-is-to-know-about-the-uhf-the-crazy-uhf,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/everything-you-need-to-know-about-bluetooth-smart-or-bluetooth-low-energy,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/evolis-has-been-awarded,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/exercise-with-our-funkygate,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/from-passion-for-technology-to-wakdev,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/funkygates-ip-nfc-up-running-with-the-cloud,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/how-did-we-help-xenon-54-nv-with-the-share-work-solution,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/how-springcard-was-able-to-support-afcare-and-doctolib-in-a-mobility-solution-for-healthcare-professionals,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/how-to-design-your-antenna,exact,/blog/comment-concevoir-son-antenne-rfid-nfc/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/how-to-set-up-your-d600,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/how-to-upgrade-your-device-s-firmware-with-firmware-upgrade-utility,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/how-we-facilitate-the-life-of-students-with-the-cnous,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/ios-et-nfc-latest-news-from-a-nfc-api,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/lora-overview-of-this-technology-its-protocol-lorawan,exact,/blog/lora-et-lorawan-comprendre-cette-technologie/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/mtbf-what-is-it,exact,/blog/mtbf-qu-est-ce-que-c-est/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/ndef-four-letters-defining-the-data-exchange-format-in-nfc,exact,/blog/ndef-format-echange-donnees-nfc/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/nfc-rfid-the-complete-guide,exact,/blog/nfc-rfid-le-guide-complet/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/optimizing-the-reading-of-your-tags-easily,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/our-partner-s-projects-are-our-projects-k2corp-s-example,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/our-partnership-with-evolis,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/peer-to-peer-vs-host-card-emulation-what-are-the-differences,exact,/blog/nfc-p2p-vs-hce-quelles-differences/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/prox-n-roll-rfid-scanner-vs-prox-n-roll-pc-sc-which-one-will-you-choose,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/retail-and-contactless-technologies-nfc-rfid-ble-etc,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/rfid-best-points-of-the-technology,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/rfid-simplifies-self-service-car-access,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/scardsniffer,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/selecting-your-NFC-RFID-reader-elements-of-method,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/socket-mobile-and-springcard-sas-announce-licensing-agreement,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/springcard-develops-green-packaging,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/springcard-firmwares,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/springcard-guides-you-in-the-world-of-contactless-solutions,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/springcard-is-now-a-member-of-nfc-forum,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/springcard-s-customers-service,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/springfield-colorado,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/springpass-a-simplified-seamless-customer-experience,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/success-stories-of-our-clients-thinfilm,exact,/cas-usage/thinfilm-sous-bock-nfc-engagement-consommateurs/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/the-american-part-of-springcard-s-story,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/the-anti-tearing-concept-and-mechanisms,exact,/blog/anti-tearing-principe-et-mecanismes/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/the-d600-solution-everything-you-need-to-know-about-it,exact,/blog/,301,Posts,active,
