ancienne_url,nouvelle_url,type,raison
https://www.springcard.com/fr/blog/news/vcub-mobile-the-bordeaux-nfc-bicycle-sharing-scheme-shifts-into-nfc,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/we-helped-creating-the-fastest-beer-dispenser-in-the-world,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/what-can-iot-do-for-you,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/what-is-the-difference-between-a-reader-and-a-coupler,/blog/lecteur-ou-coupleur-quelle-difference/,Posts,article technique recréé et traduit sur le nouveau site
https://www.springcard.com/fr/blog/news/what-is-the-difference-between-rfid-and-nfc,/blog/quelle-est-la-difference-entre-rfid-et-nfc/,Posts,article technique recréé et traduit sur le nouveau site
https://www.springcard.com/fr/blog/news/what-is-the-rctif-certification,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/which-type-of-nfc-tag-is-the-most-interesting-for-you,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/with-designa-and-springcard-park-your-car-easily,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/with-nu-eat-healthy-and-reduce-waste,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/products/antennas,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/apple-google-wallet-nfc-passes,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/cable-usb-a,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/crazywriter-hsp,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/durascan-d600,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/funkygate-dw-nfc,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/funkygate-dw-nfc-ble,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/funkygate-ip-pcsc,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/funkygate-ip-rdr,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/h663,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/h663s-usb-rdr,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/h663usb,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/k663,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/k663-rdr,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/k663s-rdr-xxx,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/k663s-xxx,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/m519,/produits/m519/,Products,variante M519 toujours au catalogue
https://www.springcard.com/fr/products/m519-sam-u-b,/produits/m519/#produit-m519-sam,Products,variante M519 toujours au catalogue
